ref_date,geo,fuel_type,vehicle_type,number_of_vehicles,year,month
2017-01-01,BC,All zero-emission vehicles,Passenger cars,555,2017,1
2017-01-01,BC,All zero-emission vehicles,Pickup trucks,0,2017,1
2017-01-01,BC,All zero-emission vehicles,Multi-purpose vehicles,229,2017,1
2017-01-01,BC,All zero-emission vehicles,Vans,4,2017,1
2017-01-01,BC,Electric,"Total, vehicle type",413,2017,1
2017-01-01,BC,Electric,Passenger cars,251,2017,1
2017-01-01,BC,Electric,Pickup trucks,0,2017,1
2017-01-01,BC,Electric,Multi-purpose vehicles,162,2017,1
2017-01-01,BC,Electric,Vans,0,2017,1
2017-01-01,BC,Hybrid Electric,"Total, vehicle type",375,2017,1
2017-01-01,BC,Hybrid Electric,Passenger cars,304,2017,1
2017-01-01,BC,Hybrid Electric,Pickup trucks,0,2017,1
2017-01-01,BC,Hybrid Electric,Multi-purpose vehicles,67,2017,1
2017-01-01,BC,Hybrid Electric,Vans,4,2017,1
2017-01-01,BC,Hybrid Electric,"Total, vehicle type",971,2017,1
2017-01-01,BC,Hybrid Electric,Passenger cars,471,2017,1
2017-01-01,BC,Hybrid Electric,Pickup trucks,0,2017,1
2017-01-01,BC,Hybrid Electric,Multi-purpose vehicles,500,2017,1
2017-01-01,BC,Hybrid Electric,Vans,0,2017,1
2017-01-01,BC,Other,"Total, vehicle type",0,2017,1
2017-01-01,BC,Other,Passenger cars,0,2017,1
2017-01-01,BC,Other,Pickup trucks,0,2017,1
2017-01-01,BC,Other,Multi-purpose vehicles,0,2017,1
2017-01-01,BC,Other,Vans,0,2017,1
2017-04-01,CAN,All fuel types,"Total, vehicle type",611018,2017,4
2017-04-01,CAN,All fuel types,Passenger cars,201261,2017,4
2017-04-01,CAN,All fuel types,Pickup trucks,126442,2017,4
2017-04-01,CAN,All fuel types,Multi-purpose vehicles,242000,2017,4
2017-04-01,CAN,All fuel types,Vans,41315,2017,4
2017-04-01,CAN,Gas,"Total, vehicle type",581151,2017,4
2017-04-01,CAN,Gas,Passenger cars,192729,2017,4
2017-04-01,CAN,Gas,Pickup trucks,111945,2017,4
2017-04-01,CAN,Gas,Multi-purpose vehicles,237095,2017,4
2017-04-01,CAN,Gas,Vans,39382,2017,4
2017-04-01,CAN,Diesel,"Total, vehicle type",17643,2017,4
2017-04-01,CAN,Diesel,Passenger cars,425,2017,4
2017-04-01,CAN,Diesel,Pickup trucks,14497,2017,4
2017-04-01,CAN,Diesel,Multi-purpose vehicles,1022,2017,4
2017-04-01,CAN,Diesel,Vans,1699,2017,4
2017-04-01,CAN,All zero-emission vehicles,"Total, vehicle type",5025,2017,4
2017-04-01,CAN,All zero-emission vehicles,Passenger cars,3918,2017,4
2017-04-01,CAN,All zero-emission vehicles,Pickup trucks,0,2017,4
2017-04-01,CAN,All zero-emission vehicles,Multi-purpose vehicles,873,2017,4
2017-04-01,CAN,All zero-emission vehicles,Vans,234,2017,4
2017-04-01,CAN,Electric,"Total, vehicle type",2195,2017,4
2017-04-01,CAN,Electric,Passenger cars,1651,2017,4
2017-04-01,CAN,Electric,Pickup trucks,0,2017,4
2017-04-01,CAN,Electric,Multi-purpose vehicles,544,2017,4
2017-04-01,CAN,Electric,Vans,0,2017,4
2017-04-01,CAN,Hybrid Electric,"Total, vehicle type",2830,2017,4
2017-04-01,CAN,Hybrid Electric,Passenger cars,2267,2017,4
2017-04-01,CAN,Hybrid Electric,Pickup trucks,0,2017,4
2017-04-01,CAN,Hybrid Electric,Multi-purpose vehicles,329,2017,4
2017-04-01,CAN,Hybrid Electric,Vans,234,2017,4
2017-04-01,CAN,Hybrid Electric,"Total, vehicle type",7199,2017,4
2017-04-01,CAN,Hybrid Electric,Passenger cars,4189,2017,4
2017-04-01,CAN,Hybrid Electric,Pickup trucks,0,2017,4
2017-04-01,CAN,Hybrid Electric,Multi-purpose vehicles,3010,2017,4
2017-04-01,CAN,Hybrid Electric,Vans,0,2017,4
2017-04-01,CAN,Other,"Total, vehicle type",0,2017,4
2017-04-01,CAN,Other,Passenger cars,0,2017,4
2017-04-01,CAN,Other,Pickup trucks,0,2017,4
2017-04-01,CAN,Other,Multi-purpose vehicles,0,2017,4
2017-04-01,CAN,Other,Vans,0,2017,4
2017-04-01,PEI,All fuel types,"Total, vehicle type",2816,2017,4
2017-04-01,PEI,All fuel types,Passenger cars,1092,2017,4
2017-04-01,PEI,All fuel types,Pickup trucks,551,2017,4
2017-04-01,PEI,All fuel types,Multi-purpose vehicles,1029,2017,4
2017-04-01,PEI,All fuel types,Vans,144,2017,4
2017-04-01,PEI,Gas,"Total, vehicle type",2753,2017,4
2017-04-01,PEI,Gas,Passenger cars,1077,2017,4
2017-04-01,PEI,Gas,Pickup trucks,520,2017,4
2017-04-01,PEI,Gas,Multi-purpose vehicles,1015,2017,4
2017-04-01,PEI,Gas,Vans,141,2017,4
2017-04-01,PEI,Diesel,"Total, vehicle type",35,2017,4
2017-04-01,PEI,Diesel,Passenger cars,0,2017,4
2017-04-01,PEI,Diesel,Pickup trucks,31,2017,4
2017-04-01,PEI,Diesel,Multi-purpose vehicles,1,2017,4
2017-04-01,PEI,Diesel,Vans,3,2017,4
2017-04-01,PEI,All zero-emission vehicles,"Total, vehicle type",1,2017,4
2017-04-01,PEI,All zero-emission vehicles,Passenger cars,1,2017,4
2017-04-01,PEI,All zero-emission vehicles,Pickup trucks,0,2017,4
2017-04-01,PEI,All zero-emission vehicles,Multi-purpose vehicles,0,2017,4
2017-04-01,PEI,All zero-emission vehicles,Vans,0,2017,4
2017-04-01,PEI,Electric,"Total, vehicle type",0,2017,4
2017-04-01,PEI,Electric,Passenger cars,0,2017,4
2017-04-01,PEI,Electric,Pickup trucks,0,2017,4
2017-04-01,PEI,Electric,Multi-purpose vehicles,0,2017,4
2017-04-01,PEI,Electric,Vans,0,2017,4
2017-04-01,PEI,Hybrid Electric,"Total, vehicle type",1,2017,4
2017-04-01,PEI,Hybrid Electric,Passenger cars,1,2017,4
2017-04-01,PEI,Hybrid Electric,Pickup trucks,0,2017,4
2017-04-01,PEI,Hybrid Electric,Multi-purpose vehicles,0,2017,4
2017-04-01,PEI,Hybrid Electric,Vans,0,2017,4
2017-04-01,PEI,Hybrid Electric,"Total, vehicle type",27,2017,4
2017-04-01,PEI,Hybrid Electric,Passenger cars,14,2017,4
2017-04-01,PEI,Hybrid Electric,Pickup trucks,0,2017,4
2017-04-01,PEI,Hybrid Electric,Multi-purpose vehicles,13,2017,4
2017-04-01,PEI,Hybrid Electric,Vans,0,2017,4
2017-04-01,PEI,Other,"Total, vehicle type",0,2017,4
2017-04-01,PEI,Other,Passenger cars,0,2017,4
2017-04-01,PEI,Other,Pickup trucks,0,2017,4
2017-04-01,PEI,Other,Multi-purpose vehicles,0,2017,4
2017-04-01,PEI,Other,Vans,0,2017,4
2017-04-01,NB,All fuel types,"Total, vehicle type",14077,2017,4
2017-04-01,NB,All fuel types,Passenger cars,4661,2017,4
2017-04-01,NB,All fuel types,Pickup trucks,3560,2017,4
2017-04-01,NB,All fuel types,Multi-purpose vehicles,5256,2017,4
2017-04-01,NB,All fuel types,Vans,600,2017,4
2017-04-01,NB,Gas,"Total, vehicle type",13721,2017,4
2017-04-01,NB,Gas,Passenger cars,4602,2017,4
2017-04-01,NB,Gas,Pickup trucks,3336,2017,4
2017-04-01,NB,Gas,Multi-purpose vehicles,5200,2017,4
2017-04-01,NB,Gas,Vans,583,2017,4
2017-04-01,NB,Diesel,"Total, vehicle type",250,2017,4
2017-04-01,NB,Diesel,Passenger cars,4,2017,4
2017-04-01,NB,Diesel,Pickup trucks,224,2017,4
2017-04-01,NB,Diesel,Multi-purpose vehicles,5,2017,4
2017-04-01,NB,Diesel,Vans,17,2017,4
2017-04-01,NB,All zero-emission vehicles,"Total, vehicle type",7,2017,4
2017-04-01,NB,All zero-emission vehicles,Passenger cars,3,2017,4
2017-04-01,NB,All zero-emission vehicles,Pickup trucks,0,2017,4
2017-04-01,NB,All zero-emission vehicles,Multi-purpose vehicles,4,2017,4
2017-04-01,NB,All zero-emission vehicles,Vans,0,2017,4
2017-04-01,NB,Electric,"Total, vehicle type",1,2017,4
2017-04-01,NB,Electric,Passenger cars,0,2017,4
2017-04-01,NB,Electric,Pickup trucks,0,2017,4
2017-04-01,NB,Electric,Multi-purpose vehicles,1,2017,4
2017-04-01,NB,Electric,Vans,0,2017,4
