REF_DATE,DESC,VALUE,YEAR
2023-05-20,Domestic movements,51376,2023
2023-05-20,Transborder movements,7698,2023
2023-05-20,Other international movements,3034,2023
2023-05-27,Domestic movements,57876,2023
2023-05-27,Transborder movements,7708,2023
2023-05-27,Other international movements,3062,2023
2023-06-03,Domestic movements,50767,2023
2023-06-03,Transborder movements,8241,2023
2023-06-03,Other international movements,3186,2023
2023-06-10,Domestic movements,51216,2023
2023-06-10,Transborder movements,8199,2023
2023-06-10,Other international movements,3193,2023
2023-06-17,Domestic movements,56150,2023
2023-06-17,Transborder movements,8301,2023
2023-06-17,Other international movements,3307,2023
2023-06-24,Domestic movements,50614,2023
2023-06-24,Transborder movements,7872,2023
2023-06-24,Other international movements,3455,2023
2023-07-01,Domestic movements,53162,2023
2023-07-01,Transborder movements,7552,2023
2023-07-01,Other international movements,3388,2023
2023-07-08,Domestic movements,57546,2023
2023-07-08,Transborder movements,8107,2023
2023-07-08,Other international movements,3396,2023
2023-07-15,Domestic movements,56387,2023
2023-07-15,Transborder movements,8166,2023
2023-07-15,Other international movements,3437,2023
2023-07-22,Domestic movements,54019,2023
2023-07-22,Transborder movements,8177,2023
2023-07-22,Other international movements,3413,2023
2023-07-29,Domestic movements,59747,2023
2023-07-29,Transborder movements,8192,2023
2023-07-29,Other international movements,3429,2023
2023-08-05,Domestic movements,52275,2023
2023-08-05,Transborder movements,8102,2023
2023-08-05,Other international movements,3402,2023
2023-08-12,Domestic movements,53873,2023
2023-08-12,Transborder movements,8230,2023
2023-08-12,Other international movements,3400,2023
2023-08-19,Domestic movements,52302,2023
2023-08-19,Transborder movements,8306,2023
2023-08-19,Other international movements,3457,2023
2023-08-26,Domestic movements,53313,2023
2023-08-26,Transborder movements,8221,2023
2023-08-26,Other international movements,3436,2023
2023-09-02,Domestic movements,49288,2023
2023-09-02,Transborder movements,7902,2023
2023-09-02,Other international movements,3370,2023
2023-09-09,Domestic movements,53944,2023
2023-09-09,Transborder movements,8108,2023
2023-09-09,Other international movements,3241,2023
